Date,Message
2026-01-16T16:55:00.000-05:00,"time,open,high,low,close,volume"
2026-01-16T16:55:00.000-05:00,"2026-01-07 16:15,25924.25,25930,25916,25919.75,8397"
2026-01-16T16:55:00.000-05:00,"2026-01-07 16:20,25919.75,25920.25,25897.75,25903.25,14312"
2026-01-16T16:55:00.000-05:00,"2026-01-07 16:25,25903.5,25904.5,25879.25,25895.75,16826"
2026-01-16T16:55:00.000-05:00,"2026-01-07 16:30,25895.5,25910,25889.5,25902.75,15813"
2026-01-16T16:55:00.000-05:00,"2026-01-07 16:35,25902.5,25909.5,25896,25906,8487"
2026-01-16T16:55:00.000-05:00,"2026-01-07 16:40,25906,25944.75,25905.5,25942.25,18691"
2026-01-16T16:55:00.000-05:00,"2026-01-07 16:45,25942.5,25963.5,25939.25,25951,17799"
2026-01-16T16:55:00.000-05:00,"2026-01-07 16:50,25951,25956,25945.75,25954.25,8019"
2026-01-16T16:55:00.000-05:00,"2026-01-07 16:55,25954.5,25971.25,25954.5,25970,12177"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:00,25970,25974.75,25964.25,25972.5,10182"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:05,25972.5,25988.5,25971.75,25983,12513"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:10,25983.25,25985.75,25970.5,25975.5,8877"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:15,25975.5,25981.5,25969.5,25981.25,7141"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:20,25981,25989.75,25979.25,25985.75,6539"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:25,25986.25,25991,25977,25984.25,8106"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:30,25984.5,25986,25976,25981.5,6559"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:35,25981.75,25983.5,25974.75,25981.75,5902"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:40,25981.75,25998,25978.75,25993.75,7364"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:45,25994,25996.5,25980.75,25983.25,7143"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:50,25983,25983.25,25961,25971,13490"
2026-01-16T16:55:00.000-05:00,"2026-01-07 17:55,25971.25,25980,25963.25,25971,9540"
2026-01-16T16:55:00.000-05:00,"2026-01-07 18:00,25970.75,25972.25,25958.75,25962,7633"
2026-01-16T16:55:00.000-05:00,"2026-01-07 18:05,25961.75,25967,25957,25962,7503"
2026-01-16T16:55:00.000-05:00,"2026-01-07 18:10,25961.5,25962.5,25947.5,25961.25,9928"
2026-01-16T16:55:00.000-05:00,"2026-01-07 18:15,25961.25,25961.5,25938.5,25947.25,12037"
