entry_time,exit_time,direction,entry,exit,stop,target,pnl_points,pnl_ticks,pnl_dollars,exit_reason,risk,r_multiple
2025-11-26 09:40:00-05:00,2025-11-26 09:45:00-05:00,long,25224.5,25251.3125,25214.75,25251.3125,26.8125,107.25,53.625,target,9.75,2.75
2025-11-26 10:45:00-05:00,2025-11-26 10:50:00-05:00,long,25225.25,25215.5,25215.5,25252.0625,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-11-26 12:05:00-05:00,2025-11-26 12:10:00-05:00,long,25337.5,25327.75,25327.75,25364.3125,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-11-26 13:10:00-05:00,2025-11-26 13:15:00-05:00,long,25311.25,25338.0625,25301.5,25338.0625,26.8125,107.25,53.625,target,9.75,2.75
2025-12-01 11:10:00-05:00,2025-12-01 11:15:00-05:00,long,25370.0,25360.25,25360.25,25396.8125,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-12-02 08:50:00-05:00,2025-12-02 09:00:00-05:00,long,25493.75,25520.5625,25484.0,25520.5625,26.8125,107.25,53.625,target,9.75,2.75
2025-12-02 10:35:00-05:00,2025-12-02 10:40:00-05:00,long,25550.75,25577.5625,25541.0,25577.5625,26.8125,107.25,53.625,target,9.75,2.75
2025-12-05 09:45:00-05:00,2025-12-05 09:50:00-05:00,long,25709.0,25735.8125,25699.25,25735.8125,26.8125,107.25,53.625,target,9.75,2.75
2025-12-05 10:30:00-05:00,2025-12-05 10:40:00-05:00,long,25837.0,25827.25,25827.25,25863.8125,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-12-05 11:00:00-05:00,2025-12-05 11:05:00-05:00,long,25743.0,25733.25,25733.25,25769.8125,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-12-08 09:55:00-05:00,2025-12-08 10:00:00-05:00,short,25770.0,25743.1875,25779.75,25743.1875,26.8125,107.25,53.625,target,9.75,2.75
2025-12-08 11:25:00-05:00,2025-12-08 11:50:00-05:00,short,25661.0,25634.1875,25670.75,25634.1875,26.8125,107.25,53.625,target,9.75,2.75
2025-12-09 10:50:00-05:00,2025-12-09 10:55:00-05:00,long,25651.75,25678.5625,25642.0,25678.5625,26.8125,107.25,53.625,target,9.75,2.75
2025-12-10 14:45:00-05:00,2025-12-10 14:50:00-05:00,long,25665.75,25692.5625,25656.0,25692.5625,26.8125,107.25,53.625,target,9.75,2.75
2025-12-12 10:35:00-05:00,2025-12-12 10:40:00-05:00,short,25349.5,25359.25,25359.25,25322.6875,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-12-12 13:15:00-05:00,2025-12-12 13:20:00-05:00,short,25332.0,25341.75,25341.75,25305.1875,-9.75,-39.0,-19.5,stop,9.75,-1.0
